,Location,Retweet_Count,Date,Tweets
81,"Bombay, India",0,Mon Mar 02 09:00:47 +0000 2020,you've turned people who often barely have two square meals to eat into systemic oppressors and ossified one singular group as the eternal victim. #Assam #CAA
83,Bangalore,0,Mon Mar 02 08:46:31 +0000 2020,@harishwings @vinitjha88 @so_radhikal Laying bare the fact that #CAA was introduced only to correct the debacle of the Assam NRC AND to deny legality to ONLY Muslims Proving we are no where close to an equal opportunity country
84,"Purulion, JNU 'ite nw B,lorean",0,Mon Mar 02 08:42:54 +0000 2020,"@ANI If #Modi is so close to #Bangladesh, why is he not making a deal to resettle all #Bangladeshi #refugees (irrespective of #religion) who crossed the border to #India post #1971. #Bangladesh has a pro-India govt and home to 1 crore+ #Hindus. Why #CAA f"
85,Canada,0,Mon Mar 02 08:36:42 +0000 2020,"Official media just won't speak of the hair-raising violence in New Delhi by the Hindus.Â  MSM says critics see India's Citizen Act as ""bias."" What about the rest of the world?Â  #CAA is bedizened with inequity, intolerance and bigotry.Â  ""Bias"" is an euphemism.Â  It's plain vicious."
87,"San Francisco, CA",2,Mon Mar 02 08:34:48 +0000 2020,Not know how many lost their citizenship but for sure so many lost their lives ðŸ˜”  Fake liberals and sick-u-liars: Blood on your hands and you guys should never be forgiven for your propaganda ðŸ˜¡ðŸ˜¡ðŸ˜¡  #CAA #IAmIndianISupportCAA #PatrioticIndiansSupportCAA #WeSupportCAA
88,,0,Mon Mar 02 08:32:51 +0000 2020,"@ImranKhanPTI @kashorMazloom 1 Has India rights to decide own laws? 2 #CAA is not against Citizens of India. 3 If protesters spread violence and abuse destroy property kill people, should police keep quiet? 4 India, a Majority Hindu nation , it is wrong v"
91,,0,Mon Mar 02 08:26:33 +0000 2020,"@dmathur22 @NARAYANRAO12 @propagandead @whitecrescent @Chinmay_2001 @aksh0299 @Powerpu33039372 @rahulpandita 2. Countrywide FULL #NRC itself is ABSURD &amp; A DILEMMA. Now with #CAA, #NRC becomes selective &amp; targeted, and is even more absurd. You symp"
92,,0,Mon Mar 02 08:26:32 +0000 2020,"One More Dream Shattered of Liberals, Really They're Having a Bad Time. Ram Mandir Verdict In Favor Of Temple, 370 Scrapped, #CAA Passed, #NRC On floor,  And Now Even The Supreme Court Refuses To Refer The Petition Against The Abrogation Of 370 To a Larger Bench. ðŸ’¥ #Article370"
95,,0,Mon Mar 02 08:23:03 +0000 2020,@PChidambaram_IN Go and learn the #CAA from Shri Rajnikant of your state.
104,,0,Mon Mar 02 08:02:41 +0000 2020,@AmitShah @narendramodi @myogiadityanath @rajnathsingh In sequence of opposing #CAA and #NRC thy are propogating their anti natnal agenda. Kindly ask nationalist people to mark them for suppressing their financial power so they couldn't inhance and financ
110,,13,Mon Mar 02 07:58:58 +0000 2020,If an Anti #CAA protest is allowed and is the right of Citizen why not pro #CAA
112,"Delhi,India",0,Mon Mar 02 07:56:46 +0000 2020,The act of balancing and so called positive criticism by fancy supporters are nothing but an attempt to promote BJP.   On which issue you want to criticise cong in positive way  #Article370 #CAA #Demonetization  Party took principled stand on all these issues. So why you poke?
114,"Mumbai, India",0,Mon Mar 02 07:50:43 +0000 2020,Just rewatched #koffeewithkaran season 1 when #RichardGere made an appearance because he was fighting for various causes around the globe. @karanjohar and the rest of #Bollywood should probably watch that episode and take some inspiration. #DelhiViolence #CAA #IndiaAboveHate
126,Bangalore,0,Mon Mar 02 07:43:52 +0000 2020,"@vinitjha88 A misunderstanding that is likely to occur several times But thanks to the #CAA Muslims are likely to be suffer more A official can choose to ignore mistakes when others are being scrutinized and not Muslims Have to accept it no choice, but I "
127,"New Delhi, India",0,Mon Mar 02 07:42:44 +0000 2020,@pbhushan1 Delhi High court and Supreme Court is responsible for the #DelhiRiots2020 since they allowed an illegal so called protest by Muslims at #saheenbagh against #CAA which doesn't take citizenship of anyone
