"himachal Pradesh","0","tue feb 25 22:06:21 +0000 2020"," is this happy secular india is nrc caa protest real or it just to disturb peace of country it have gone far away from just silence protest it not about hindu and muslim it all about dirty politics delhiburning shootatsight delhi"
"himachal Pradesh","0","tue feb 25 21:12:13 +0000 2020"," announce nrc npr ucc and remove article30 all at once let give the so called tolerant lot a time dilation experiment"
"himachal Pradesh","1","tue feb 25 18:38:45 +0000 2020"," rt until ppl like her don’t stop inciting muslim with lie on caa nrc, peace and harmony in nat’l capital can neve…"
"himachal Pradesh","1","tue feb 25 18:38:14 +0000 2020"," until ppl like her don’t stop inciting muslim with lie on caa nrc, peace and harmony in nat’l capital can never be restored"
"himachal Pradesh","8","tue feb 25 18:22:50 +0000 2020"," rt isi , china and muslim supramacists to destabilise indiano amount of talk on caa , unless the govt buckle down under…"
"himachal Pradesh","2","tue feb 25 18:00:40 +0000 2020"," in between caa nrc somewhere every odia forot to think of reviving odisha economy and increase per annum income we need proper implementation of drift and sprinkle irrigation rather than downgrading ground water level manufacturing industry nuclear power plant â¬†ï¸ living"
"himachal Pradesh","0","tue feb 25 17:57:35 +0000 2020"," one liner stmnt even with so many clarification if you fail to undrstnd the repercussion of nation wide nrc w step by step chronology and live example frm assam nrci can only say youre igno"
"himachal Pradesh","0","tue feb 25 16:53:36 +0000 2020"," caa alone will have no impact but see it through the prism of nrc, rest of your understanding will automatically fall in place and you will find million of people will render stateless once npr i"
"himachal Pradesh","0","tue feb 25 16:29:36 +0000 2020"," who is spreading violence in the country in the name of artificial fear of caa, nrc or npr it are the misguided and misinformed muslim and they are being exploited by some antinational muslim leaders, like you indiasupportscaa"
"himachal Pradesh","0","tue feb 25 16:14:54 +0000 2020"," caa nrc npr in india hv begun to spawn violence just a violence cannot be answer to any challenge, caa with religion inserted and nrc npr r no solution against illegal migration it is like spraying totalweedkillers where a selective herbicide wud suffice"
"himachal Pradesh","0","tue feb 25 15:53:28 +0000 2020"," some leader started the ruckus in the name of caa amp nrc but when the situation is going out of control, they are silent and unable to control it is it intentional or political or inability of administration"
"himachal Pradesh","0","tue feb 25 15:22:12 +0000 2020"," this should have been done much before, before hc ratan lal wa shot amp killed by a terrorist, and before another terrorist shahrukh pointed gun at another police amp fired in the air and on the other protester killing atleas"
"himachal Pradesh","0","tue feb 25 13:33:40 +0000 2020"," protest of civilized people are peaceful in the interest of communal peace and unity when protest change to riot mood then it never wa peaceful to begin with law of land should be followed nrc caa is for streaming life stop delhiriots"
"himachal Pradesh","0","tue feb 25 13:26:53 +0000 2020"," aap chronology samjhiye 1first govt will say there are no plan for nrc not explicitly say no nrc ever 2then nrc will slowly disappear from people mind 3then amit shah will announce implementation of nrc in classic modi govt style"
"himachal Pradesh","0","tue feb 25 13:22:48 +0000 2020"," can all those woke citizen who have been lying to the country about caa and an imaginary nationwide nrc be booked under some section of ipc"
"himachal Pradesh","0","tue feb 25 13:14:03 +0000 2020"," read the actual article that passed recently indian govt ha the responsibility to educate people over the caa and nrc act and assure the implication of it to the citizen of the country in this new age protest need a new direction, a productive direction 2"
"himachal Pradesh","1124","tue feb 25 13:12:59 +0000 2020"," rt for the agendadriven journalist the nrc is a supreme courtmandated and strictly monitored exercise a many a 3…"
"himachal Pradesh","0","tue feb 25 13:09:44 +0000 2020"," carrying so much hate amp spilling venom against the same country where they live and enjoy all the facility a if they do not belong here at all protest is their right but spreading hate caa nrc npr supportcaa"
"himachal Pradesh","0","tue feb 25 12:54:58 +0000 2020"," why do we let a bad fish ruin the whole pond these protestors are not thinking about their destruction that is harming their fellow brother and sister a their whole life are depended upon some thing that were just destroyed yesterday caa nrc peace enoughisenough unity"
"himachal Pradesh","0","tue feb 25 12:26:13 +0000 2020"," please show the news of india capital burning in clash between two community supporting and protesting against caa nrc npr and the bjp government silently watching people being killed house and shop burnt human right are curbed her"
"himachal Pradesh","1","tue feb 25 10:27:57 +0000 2020"," rt mota bhai shud put a press conference and announce nrc, population control bill,uniform civil codeðÿ˜ðÿ˜¹"
"himachal Pradesh","1","tue feb 25 10:27:05 +0000 2020"," mota bhai shud put a press conference and announce nrc, population control bill,uniform civil codeðÿ˜ðÿ˜¹"
"himachal Pradesh","0","tue feb 25 10:03:55 +0000 2020"," handsome man, if you do not have nrc npr , then someone like that will enter anywhere anytime in this country, so nrc and npr are necessary and also necessity for all"
"himachal Pradesh","1","tue feb 25 09:00:02 +0000 2020"," being a indian and a hindui feel unsafe in my own capital because of muslim we need nrc ucc a soon a possible delhiviolence delhiriots delhicaaclashes delhiburning delhi"
"himachal Pradesh","0","tue feb 25 07:59:26 +0000 2020"," adarniya modi ji after looking into the situation birth certificate it should be done mandatory during the birth of new born baby by the hospitalspvt or govt with in 1months duration whether heshe is educated or uneducated"
"himachal Pradesh","0","tue feb 25 05:51:56 +0000 2020"," after the fresh round of delhiviolence we know exactly why caa and nrc is must"
