,Location,Retweet_Count,Date,Tweets
233,IT,0,Thu Feb 27 17:33:31 +0000 2020,@republic @RajThackeray salute to you. This is much better than #NRC and more effective. Even Muslims will become informer.
239,India,0,Thu Feb 27 15:47:18 +0000 2020,"@AnantkumarH So it the duty of the @PMOIndia to remove secularism from my country and being #UCC and #NRC and ban sharia law and madrasas in India. Follow, Poland, Srilanka and Slovakia"
251,,5,Thu Feb 27 11:58:18 +0000 2020,RT @Rita_Banerji: @saquibmy87 @iamadwoy @rahulkanwal 7/ People put out of #NRC have to appear before a corrupt &amp; inept foreign tribunal andâ€¦
252,"à¤§à¤°à¤¤à¥€ à¤²à¥‹à¤•, à¤•à¤²à¤¯à¥à¤—",1,Thu Feb 27 11:32:35 +0000 2020,"RT @BobbySoniWriter: Russia is 115 times bigger than Bangladesh, but in Bangladesh, where people are breeding like pigs, has more populatioâ€¦"
253,India,1,Thu Feb 27 11:28:58 +0000 2020,"Russia is 115 times bigger than Bangladesh, but in Bangladesh, where people are breeding like pigs, has more population than Russia and hence their influx into Assam and Bengal.  #CAASupport #NRC #CAA_NRC_NPR #SaveDelhiHindus  #DelhiRiots #Delhigenocide @ShefVaidya @UnSubtleDesi"
254,India,0,Thu Feb 27 11:04:57 +0000 2020,@MangoManBR whole world is aware which ideology produces mass terrorist. RSS and Hindutva are our saviors from breeding pigs. Russia is about 115 times bigger than Bangladesh. but Bangladesh due to pigs breeding peacefully has more population than Russia.
255,,0,Thu Feb 27 10:48:42 +0000 2020,"@sardesairajdeep Disgusting!! Riots are happening and when police take action, they are blamed. When police wait for orders , they are blamed.  Protests happen without permission which is not as per law. Minorities are brainwashed for political benefit!  "
259,,0,Thu Feb 27 09:56:12 +0000 2020,@kamaalrkhan And what is wrong with #NRC?? U want illegal immigrants?? Will u allow anyone in ur house illegally?
260,"Jaipur, India",1,Thu Feb 27 09:45:03 +0000 2020,"RT @Narendrabana: Unknown people lit petrol pumps Unknown people killed head constable Unknown people threw stones Actually, #NRC is necessâ€¦"
267,,0,Thu Feb 27 05:52:10 +0000 2020,@TarekFatah What other work do these guys have ? I say stop giving them all sorts of freebies which honestly they don't deserve especially in light of all the damage caused to public property and lives. There's just no point. #NRC is a must to understand 
